corrected_grade,COURSE_NAME,COURSE_NUMBER,grade_type,inc_ovrdue?,inc_pfa?,inc_project?,LETTER_GRADE,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
A-,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A-,30554 D200,30554,16,99,,0,92,100
B,RA-AP Spanish Language,E400,project,FALSE,FALSE,FALSE,B,30554 E400,30554,60,,,0,84,100
A+,Exploring Music,F512,a_f_elec,FALSE,FALSE,FALSE,A+,30554 F512,30554,100,100,,0,100,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A-,30554 I136,30554,100,88,,0,92,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30554 I136,30554,,,,0,,
I,RA-AP US History,A300,project,FALSE,TRUE,FALSE,I,30556 A300,30556,0,80,,0,74,87
I,RA-AP English Language,B300,project,FALSE,TRUE,FALSE,I,30556 B300,30556,66,74,,0,76,84
C,RA-Math III,C320,project,FALSE,FALSE,FALSE,C,30556 C320,30556,0,76,75,0,74,100
I,RA-Chemistry 11th,D200,project,TRUE,TRUE,FALSE,I,30556 D200,30556,16,70,,1,68,83
I,RA-Spanish 2,E200,project,TRUE,FALSE,FALSE,I,30556 E200,30556,0,,,2,73,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B+,30556 I136,30556,100,81,,0,87,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30556 I136,30556,,,,0,,
P,Modern Acting & Theater (E),I267,pnp_elec,FALSE,FALSE,FALSE,A+,30556 I267,30556,100,,,0,100,100
A-,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A-,30559 A300,30559,100,88,,0,92,100
