corrected_grade,COURSE_NAME,COURSE_NUMBER,grade_type,inc_ovrdue?,inc_pfa?,inc_project?,LETTER_GRADE,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
C+,RA-AP US History,A300,project,FALSE,FALSE,FALSE,C+,30544 A300,30544,0,83,,0,79,100
C,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,C,30544 B300,30544,33,74,,0,76,100
B-,RA-Math III,C320,project,FALSE,FALSE,FALSE,B-,30544 C320,30544,14,91,78,0,81,100
I,RA-Chemistry 11th,D200,project,TRUE,FALSE,FALSE,I,30544 D200,30544,0,70,,1,70,100
B-,RA-AP Spanish Language,E400,project,FALSE,FALSE,FALSE,B-,30544 E400,30544,20,,,0,80,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B+,30544 I136,30544,100,83,,0,88,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30544 I136,30544,,,,0,,
P,Advanced Video Production (E),I307,pnp_elec,FALSE,FALSE,FALSE,B-,30544 I307,30544,100,,,0,80,100
A,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A,30545 A300,30545,100,94,,0,96,100
A-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,A-,30545 B300,30545,100,89,,0,92,100
A+,RA-Math III,C320,project,FALSE,FALSE,FALSE,A+,30545 C320,30545,100,98,99,0,99,100
A+,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A+,30545 D200,30545,100,95,,0,97,100
A+,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A+,30545 E300,30545,100,,,0,99,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A+,30545 I136,30545,100,98,,0,99,100
P,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,A+,30545 I136,30545,,,,0,100,
,Modern Acting & Theater (E),I267,pnp_elec,FALSE,FALSE,FALSE,N/A,30545 I267,30545,100,,,0,,100
A+,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A+,30546 A300,30546,92,96,,0,97,100
A-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,A-,30546 B300,30546,100,89,,0,92,100
A+,RA-AP Calculus AB,C400,project,FALSE,FALSE,FALSE,A+,30546 C400,30546,100,99,96,0,98,100
A+,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A+,30546 D200,30546,100,100,,0,100,100
B,RA-AP Spanish Language,E400,project,FALSE,FALSE,FALSE,B,30546 E400,30546,80,,,0,86,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A,30546 I136,30546,100,92,,0,94,100
P,Modern Acting & Theater (E),I267,pnp_elec,FALSE,FALSE,FALSE,A+,30546 I267,30546,100,,,0,100,100
C+,RA-AP US History,A300,project,FALSE,FALSE,FALSE,C+,30547 A300,30547,7,80,,0,78,100
B-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B-,30547 B300,30547,100,72,,0,80,100
C,RA-Math III,C320,project,FALSE,FALSE,FALSE,C,30547 C320,30547,14,74,73,0,74,100
I,RA-Chemistry 11th,D200,project,FALSE,TRUE,FALSE,I,30547 D200,30547,16,77,,0,73,83
I,RA-Spanish 3,E300,project,TRUE,TRUE,FALSE,I,30547 E300,30547,0,,,1,81,83
A+,Sociology of Law,G102,a_f_elec,FALSE,FALSE,FALSE,A+,30547 G102,30547,100,100,,0,100,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B,30547 I136,30547,100,77,,0,84,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30547 I136,30547,,,,0,,
C,RA-AP US History,A300,project,FALSE,FALSE,FALSE,C,30548 A300,30548,0,78,,0,76,100
I,RA-AP English Language,B300,project,FALSE,FALSE,TRUE,I,30548 B300,30548,33,68,,0,72,100
C,RA-Math III,C320,project,FALSE,FALSE,FALSE,C,30548 C320,30548,0,76,81,0,76,100
C,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,C,30548 D200,30548,0,77,,0,75,100
I,RA-Spanish 3,E300,project,FALSE,TRUE,FALSE,I,30548 E300,30548,0,,,0,84,83
A+,Sociology of Law,G102,a_f_elec,FALSE,FALSE,FALSE,A+,30548 G102,30548,100,97,,0,98,100
NP,College Readiness- CA,I136,pnp_elec,TRUE,FALSE,FALSE,I,30548 I136,30548,100,73,,1,81,100
C+,RA-AP US History,A300,project,FALSE,FALSE,FALSE,C+,30549 A300,30549,0,80,,0,77,100
I,RA-AP English Language,B300,project,FALSE,TRUE,FALSE,I,30549 B300,30549,0,70,,0,65,76
I,RA-Math II,C220,project,FALSE,TRUE,TRUE,I,30549 C220,30549,0,70,67,0,66,87
I,RA-Spanish 2,E200,project,TRUE,TRUE,FALSE,I,30549 E200,30549,0,,,3,55,70
C+,Intro to Video Production (E),F511,a_f_elec,FALSE,FALSE,FALSE,C+,30549 F511,30549,,,,0,79,
NP,College Readiness- CA,I136,pnp_elec,TRUE,TRUE,FALSE,I,30549 I136,30549,100,71,,1,72,75
A,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A,30550 A300,30550,100,93,,0,95,100
A-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,A-,30550 B300,30550,100,85,,0,90,100
A+,RA-Math III,C320,project,FALSE,FALSE,FALSE,A+,30550 C320,30550,100,91,99,0,97,100
B+,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,B+,30550 D200,30550,83,85,,0,88,100
A+,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A+,30550 E300,30550,100,,,0,98,100
C-,Intermediate Visual Art (E),F503,a_f_elec,FALSE,FALSE,FALSE,C-,30550 F503,30550,,,,0,70,
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A,30550 I136,30550,100,92,,0,94,100
B,RA-AP US History,A300,project,FALSE,FALSE,FALSE,B,30551 A300,30551,7,90,,0,85,100
C,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,C,30551 B300,30551,0,77,,0,75,100
B+,RA-Math III,C320,project,FALSE,FALSE,FALSE,B+,30551 C320,30551,14,91,93,0,87,100
B,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,B,30551 D200,30551,50,87,,0,86,100
B,RA-Spanish 2,E200,project,FALSE,FALSE,FALSE,B,30551 E200,30551,40,,,0,86,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A-,30551 I136,30551,100,88,,0,92,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30551 I136,30551,,,,0,,
P,Game Programming - HS,I202,pnp_elec,FALSE,FALSE,FALSE,A+,30551 I202,30551,100,100,,0,100,100
I,RA-AP US History,A300,project,FALSE,TRUE,FALSE,I,30552 A300,30552,15,86,,0,81,93
C,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,C,30552 B300,30552,0,79,,0,76,100
B,RA-Math III,C320,project,FALSE,FALSE,FALSE,B,30552 C320,30552,0,87,92,0,84,100
I,RA-Chemistry 11th,D200,project,TRUE,TRUE,FALSE,I,30552 D200,30552,0,86,,2,79,91
I,RA-AP Spanish Language,E400,project,TRUE,TRUE,FALSE,I,30552 E400,30552,20,,,1,74,80
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B,30552 I136,30552,100,76,,0,83,100
P,Modern Acting & Theater (E),I267,pnp_elec,FALSE,FALSE,FALSE,A+,30552 I267,30552,100,,,0,100,100
A+,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A+,30553 A300,30553,100,96,,0,97,100
A-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,A-,30553 B300,30553,100,85,,0,90,100
B+,RA-Math III,C320,project,FALSE,FALSE,FALSE,B+,30553 C320,30553,42,94,91,0,89,100
A,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A,30553 D200,30553,100,93,,0,95,100
A+,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A+,30553 E300,30553,100,,,0,100,100
A-,Advanced Journalism,G200,a_f_elec,FALSE,FALSE,FALSE,A-,30553 G200,30553,100,88,,0,92,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A-,30553 I136,30553,100,88,,0,92,100
A-,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A-,30554 A300,30554,23,95,,0,90,100
B+,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B+,30554 B300,30554,100,84,,0,89,100
B+,RA-Math III,C320,project,FALSE,FALSE,FALSE,B+,30554 C320,30554,14,96,94,0,89,100
