corrected_grade,COURSE_NAME,COURSE_NUMBER,date_of_pull,grade_type,inc_reason,LETTER_GRADE,SIS_SECTION_ID,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
B-,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76847_2017-08-15,11516 D430,11516,0,86,,0,81,100
A-,Sociology of Law,G102,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,81183_2017-08-15,11516 G102,11516,0,100,,0,91,100
A+,Holocaust History,G1055,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,81177_2017-08-15,11516 G1055,11516,100,100,,0,100,100
C+,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76810_2017-08-15,11518 A400,11518,0,82,,0,78,100
C+,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76890_2017-08-15,11518 A400,11518,0,82,,0,78,100
B,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76868_2017-08-15,11518 B400,11518,100,76,,0,83,100
C,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76846_2017-08-15,11518 C420,11518,0,81,74,0,75,100
B-,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76802_2017-08-15,11518 D430,11518,7,86,,0,82,100
B+,Multimedia Journalism,G299,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,81167_2017-08-15,11518 G299,11518,0,95,,0,88,100
A,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,76893_2017-08-15,11519 A400,11519,60,95,,0,93,100
A-,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,76855_2017-08-15,11519 B400,11519,50,94,,0,91,100
A-,SP-AP Calculus AB,C400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,76878_2017-08-15,11519 C400,11519,16,100,96,0,91,100
B+,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,76813_2017-08-15,11519 C420,11519,50,95,85,0,88,100
